fecha,distancia_total,hsr_abs_m,hmld_m,sprints_distancia_m,acc_3,dec_3,player_load,rpe,carga_explosiva,carga_sostenida,carga_regenerativa,rendimiento_diario,hsr_rel_m,sprints_cantidad,sprints_vel_max_kmh,velocidad_prom_m_min
2025-06-17,6703,340,1386,190,44,70,114,7,760.0,1408.8,2488.5,1970-01-01 00:00:00.000000065,166,9,32.2,83
2025-07-05,3722,925,1050,509,25,17,60,0,1287.5,1062.0,873.5,1970-01-01 00:00:00.000000063,282,12,27.3,67
2025-07-07,7055,519,1672,232,72,74,116,6,1088.8,1695.2,2432.0,1970-01-01 00:00:00.000000092,195,13,30.5,79
2025-07-22,5611,256,1129,115,71,89,130,7,782.7,1155.0,2113.0,1970-01-01 00:00:00.000000055,93,8,28.7,59
2025-08-04,5874,125,1072,56,65,84,107,6,575.0,1093.4,2338.5,1970-01-01 00:00:00.000000044,49,4,27.0,82
2025-06-02,5697,777,1240,0,20,22,97,6,1047.4,1259.4,1840.0,1970-01-01 00:00:00.000000071,0,0,23.5,120
2025-06-04,11094,1972,2260,122,47,53,180,8,2644.9,2296.0,3431.0,1970-01-01 00:00:00.000000098,120,1,24.7,106
2025-06-05,8617,26,1081,0,39,59,160,9,295.7,1113.0,3755.0,1970-01-01 00:00:00.000000044,0,0,22.0,65
2025-06-06,11448,1873,2308,87,32,42,177,8,2458.6,2343.4,3633.5,1970-01-01 00:00:00.000000099,87,2,25.5,120
2025-06-08,8727,1357,1803,374,60,33,137,8,1945.8999999999999,1830.4,2783.5,1970-01-01 00:00:00.000000093,374,11,25.3,60
2025-06-09,8241,0,841,0,43,38,137,9,224.0,868.4,3700.0,1970-01-01 00:00:00.000000034,0,0,19.7,52
2025-06-16,9524,1383,2037,771,52,63,177,7,2023.1,2072.4,3052.0,1970-01-01 00:00:00.000000095,771,10,28.2,77
2025-06-17,6873,271,1038,190,29,48,125,5,562.2,1063.0,2782.0,1970-01-01 00:00:00.000000049,190,6,30.9,85
2025-07-12,10328,266,1641,81,52,62,149,7,645.2,1670.8,4210.5,1970-01-01 00:00:00.000000076,81,3,27.5,133
2025-07-17,1976,0,195,0,24,20,40,3,122.0,203.0,890.5,1970-01-01 00:00:00.000000000,0,0,16.8,33
2025-06-04,11583,178,1696,27,35,38,150,8,423.6,1726.0,4854.5,1970-01-01 00:00:00.000000071,0,2,25.7,111
2025-06-06,9662,922,1330,12,24,20,133,10,1233.3999999999999,1356.6,3705.0,1970-01-01 00:00:00.000000085,0,1,24.7,119
2025-06-08,8741,1317,1855,215,44,19,115,7,1794.8999999999999,1878.0,2784.5,1970-01-01 00:00:00.000000093,8,7,27.0,61
2025-06-09,9112,131,1333,20,32,43,131,6,370.7,1359.2,3824.0,1970-01-01 00:00:00.000000057,0,2,24.9,57
2025-06-16,9438,1328,1933,164,28,32,136,5,1777.6,1960.2,3088.5,1970-01-01 00:00:00.000000095,0,4,25.5,76
2025-06-22,10436,540,2222,147,36,61,155,8,938.5,2253.0,3837.0,1970-01-01 00:00:00.000000099,65,6,27.8,120
2025-06-26,3015,0,110,0,5,6,46,3,30.0,119.2,1452.5,1970-01-01 00:00:00.000000001,0,0,17.5,45
2025-07-12,11054,472,2182,109,18,57,133,8,802.9,2208.6,4200.0,1970-01-01 00:00:00.000000097,15,8,27.0,142
2025-07-21,1310,23,300,0,3,2,20,3,41.599999999999994,304.0,493.5,1970-01-01 00:00:00.000000000,0,0,21.9,148
2025-06-04,6418,524,1297,224,29,46,93,8,885.8,1315.6,2298.5,1970-01-01 00:00:00.000000099,179,11,33.1,92
2025-06-08,399,79,124,6,0,0,5,3,99.8,125.0,98.0,1970-01-01 00:00:00.000000000,0,1,24.7,219
2025-06-13,8748,678,1786,320,44,71,120,9,1218.1,1810.0,3142.0,1970-01-01 00:00:00.000000100,173,19,30.8,87
2025-06-19,10194,639,1598,42,23,37,142,9,933.3,1626.4,3978.5,1970-01-01 00:00:00.000000100,37,1,26.7,88
2025-06-22,3165,67,337,0,3,4,38,5,99.39999999999999,344.6,1380.5,1970-01-01 00:00:00.000000004,0,0,22.9,196
2025-06-23,8204,40,968,0,44,36,166,7,270.0,1001.2,3598.0,1970-01-01 00:00:00.000000053,0,0,22.3,70
2025-06-24,9720,196,1323,71,39,62,139,9,522.2,1350.8,4100.5,1970-01-01 00:00:00.000000084,62,3,31.1,120
2025-07-05,3962,704,1097,300,29,32,59,6,1061.8,1108.8,1080.5,1970-01-01 00:00:00.000000081,133,10,31.5,104
2025-07-28,4752,649,1182,269,56,45,69,6,1099.3,1195.8,1460.5,1970-01-01 00:00:00.000000089,183,8,33.8,84
2025-06-04,9024,1156,1522,0,50,30,0,9,1612.2,1522.0,3173.0,1970-01-01 00:00:00.000000100,0,0,23.6,94
2025-06-08,7249,740,1411,208,37,28,0,9,1099.0,1411.0,2549.0,1970-01-01 00:00:00.000000100,62,6,26.3,49
2025-06-09,8561,128,1103,0,44,43,1,7,393.1,1103.2,3665.0,1970-01-01 00:00:00.000000074,0,0,23.2,54
2025-06-13,4089,368,777,216,24,26,0,8,618.5999999999999,777.0,1472.0,1970-01-01 00:00:00.000000080,163,8,31.6,112
2025-06-16,6863,1353,1484,774,29,31,8,7,1843.1,1485.6,2013.0,1970-01-01 00:00:00.000000099,266,11,27.4,69
